booking_date,flight_date,route,fare_class,customer_type,lead_time,no_show_probability,no_show
2025-04-13,2025-04-19,LAX-MIA,Economy,Leisure,6,0.413,0
2025-09-01,2025-09-11,LAX-MIA,Economy,Business,10,0.122,0
2025-05-07,2025-05-23,PHX-LAS,Economy,Leisure,16,0.253,0
2025-08-15,2025-08-22,LAX-MIA,Economy,Business,7,0.237,0
2025-09-12,2025-10-02,NYC-LON,Economy,Leisure,20,0.297,0
2025-08-05,2025-08-20,ATL-DFW,First,Leisure,15,0.06,0
2025-05-30,2025-06-18,LAX-MIA,Economy,Leisure,19,0.276,1
2025-04-14,2025-04-20,LAX-MIA,Economy,Business,6,0.243,0
2025-07-29,2025-10-17,NYC-LON,Business,Leisure,80,0.099,1
2025-05-01,2025-05-29,CHI-DEN,Business,Leisure,28,0.11,0
2025-05-03,2025-06-30,DFW-LAX,Economy,Business,58,0.121,0
2025-08-31,2025-10-10,BOS-DCA,Business,Leisure,40,0.077,0
2025-05-27,2025-08-21,MIA-ATL,Economy,Business,86,0.116,0
2025-04-12,2025-04-25,CHI-DEN,First,Leisure,13,0.058,0
2025-08-09,2025-09-06,LAX-MIA,Economy,Leisure,28,0.222,0
2025-05-08,2025-08-05,NYC-LON,Economy,Business,89,0.13,0
2025-07-07,2025-07-09,JFK-SFO,Business,Business,2,0.094,1
2025-05-10,2025-06-02,MIA-ATL,Economy,Leisure,23,0.244,0
2025-05-08,2025-06-07,LAX-MIA,First,Leisure,30,0.063,0
2025-08-24,2025-08-25,LAX-MIA,Economy,Business,1,0.185,1
2025-04-15,2025-04-16,DFW-LAX,Business,Business,1,0.085,0
2025-07-31,2025-10-26,SFO-LAX,Economy,Leisure,87,0.21,1
2025-08-30,2025-09-20,CHI-DEN,Business,Leisure,21,0.154,1
2025-06-12,2025-07-19,LAX-MIA,Economy,Leisure,37,0.199,0
2025-07-22,2025-08-16,NYC-LON,Economy,Leisure,25,0.207,1
2025-07-25,2025-07-29,CHI-DEN,Business,Leisure,4,0.167,1
