booking_date,flight_date,booking_lead_time,no_show,fare_class_Business,fare_class_Economy,fare_class_First,route_CHI-MIA,route_LAX-NYC,route_NYC-LAX,route_SEA-SFO,customer_type_Business,customer_type_Leisure
2024-01-01,2024-02-01,31,0,False,True,False,False,False,True,False,True,False
2024-01-02,2024-02-15,44,1,True,False,False,False,True,False,False,False,True
2024-01-03,2024-01-20,17,0,False,True,False,True,False,False,False,True,False
2024-01-04,2024-02-01,28,1,False,False,True,False,False,True,False,False,True
2024-01-05,2024-01-25,20,0,False,True,False,False,False,False,True,True,False
2024-01-06,2024-02-10,35,1,True,False,False,False,False,True,False,False,True
2024-01-07,2024-01-30,23,0,False,True,False,True,False,False,False,True,False
2024-01-08,2024-02-05,28,0,False,False,True,False,True,False,False,False,True
2024-01-09,2024-01-28,19,1,False,True,False,False,False,False,True,True,False
2024-01-10,2024-02-15,36,0,True,False,False,False,False,True,False,False,True
