booking_date,flight_date,fare_class,route,customer_type,booking_lead_time,no_show
2024-01-01,2024-02-01,Economy,NYC-LAX,Business,31,0
2024-01-02,2024-02-15,Business,LAX-NYC,Leisure,44,1
2024-01-03,2024-01-20,Economy,CHI-MIA,Business,17,0
2024-01-04,2024-02-01,First,NYC-LAX,Leisure,28,1
2024-01-05,2024-01-25,Economy,SEA-SFO,Business,20,0
2024-01-06,2024-02-10,Business,NYC-LAX,Leisure,35,1
2024-01-07,2024-01-30,Economy,CHI-MIA,Business,23,0
2024-01-08,2024-02-05,First,LAX-NYC,Leisure,28,0
2024-01-09,2024-01-28,Economy,SEA-SFO,Business,19,1
2024-01-10,2024-02-15,Business,NYC-LAX,Leisure,36,0 
